,Unnamed: 0,facility_id_API,facility_type,location,related_facilities,status,facility_name,facility_num,field_name,field_num,county,coord,operator_name,operator_num
26,26,05-001-10074,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-07-31,Brighton Lakes,3031-1-4HC,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
27,27,05-001-10075,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-07-31,Brighton Lakes,3031-1-6HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
28,28,05-001-10076,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-07-31,Brighton Lakes,3031-1-3HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
29,29,05-001-10077,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-07-31,Brighton Lakes,3031-1-10HC,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
30,30,05-001-10078,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-07-31,Brighton Lakes,3031-1-5HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
31,31,05-001-10079,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-07-31,Brighton Lakes,3031-1-8HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
32,32,05-001-10080,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-07-31,Brighton Lakes,3031-1-9HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
33,33,05-001-10081,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-07-31,Brighton Lakes,3031-1-7HC,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
34,34,05-001-10082,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-08-04,Brighton Lakes,3031-1-11HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
35,35,05-001-10065,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-06-02,Brighton Lakes,2017-3-17HC,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
36,36,05-001-10066,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-06-02,Brighton Lakes,2017-3-23HC,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
37,37,05-001-10067,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-06-02,Brighton Lakes,2017-3-18HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
38,38,05-001-10068,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-06-02,Brighton Lakes,2017-3-16HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
39,39,05-001-10069,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-06-02,Brighton Lakes,2017-3-19HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
40,40,05-001-10070,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-06-02,Brighton Lakes,2017-3-21HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
41,41,05-001-10071,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-06-02,Brighton Lakes,2017-3-20HC,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
42,42,05-001-10072,WELL,ADAMS                               001SWSW   20 1S    66W     6 , ,2017-06-02,Brighton Lakes,2017-3-15HN,WATTENBERG,90750,ADAMS,                           001SWSW   20 1S    66W     6 ,WARD PETROLEUM CORPORATION,10359
43,43,05-001-09806,WELL,ADAMS                               001SENW   24 1S    66W     6 , ,2016-05-02,Rock Family LE,13-3HC,WATTENBERG,90750,ADAMS,                           001SENW   24 1S    66W     6 ,GREAT WESTERN OPERATING COMPANY LLC,10110
